asset_id,asset_type,section_type,zone,age_years,inspection_interval_days,last_inspection_days_ago,overdue_ratio,traffic_density_trains_per_day,max_speed_kmph,load_tonnage_daily,weather_exposure_index,temperature_extremity_index,gradient_curvature_index,condition_rating,corrosion_index,historical_failures_last_2yrs,avg_repair_time_hours,redundancy_available,distance_from_depot_km,passenger_footfall_daily,freight_value_index,trains_affected_if_failure,risk_score,failure_within_30_days,criticality_score,urgency_score,impact_score,final_priority_score
AST-000016,Track,Siding,Northern,20.36,30,21.6,0.72,18.5,80,2202.7,0.315,0.208,0.296,4.21,0.175,2,17.5,True,6.3,189,0.608,6,0.3116,0,0.3431,0.2919,0.1724,0.2952
AST-000017,Level_Crossing,Main_Line,Central,26.97,60,15.7,0.261,6.9,110,2634.4,0.396,0.278,0.04,2.7,0.322,0,3.3,True,73.2,2016,0.077,1,0.2182,0,0.3364,0.0697,0.1893,0.2122
AST-000018,Bridge,Main_Line,Eastern,72.27,180,64.4,0.358,44.8,110,5330.7,0.617,0.255,0.289,3.42,0.402,2,9.5,False,31.6,2490,0.676,36,0.4791,0,0.8604,0.1954,0.7527,0.5636
AST-000019,Track,Main_Line,Western,3.66,30,6.8,0.228,46.5,100,3384.9,0.347,0.626,0.264,3.54,0.066,0,19.2,False,34.7,1970,0.331,26,0.0,0,0.8038,0.0607,0.582,0.3436
AST-000020,Bridge,Branch_Line,Eastern,68.71,180,169.0,0.939,49.8,110,1166.3,0.693,0.455,0.315,2.87,0.502,0,20.4,False,61.6,1929,0.366,59,0.5248,1,0.7785,0.2503,0.7781,0.5703
AST-000021,OHE,Branch_Line,Eastern,31.51,45,117.4,2.609,11.8,60,881.3,0.823,0.24,0.467,1.64,0.649,1,6.4,False,30.2,546,0.134,13,0.6914,1,0.4202,0.7456,0.348,0.5721
AST-000022,Points_and_Crossing,Yard,Northern,5.03,20,16.1,0.807,13.4,100,2487.1,0.424,0.269,0.132,4.92,0.252,0,10.5,True,13.7,402,0.499,2,0.2867,0,0.3563,0.2152,0.145,0.2684
AST-000023,OHE,Main_Line,Southern,26.62,45,82.5,1.834,52.8,100,2331.0,0.645,0.819,0.322,2.34,0.513,2,20.9,False,12.1,1036,0.035,53,0.6701,1,0.8142,0.5892,0.6026,0.683
AST-000024,Signal,Siding,Northern,19.54,15,15.5,1.036,22.1,60,890.4,0.3,0.35,0.382,2.5,0.198,1,14.2,True,26.5,463,0.315,4,0.4217,1,0.2892,0.3262,0.1248,0.3135
AST-000025,Track,Yard,Northern,27.76,30,13.2,0.44,10.9,130,1604.2,0.187,0.587,0.234,4.19,0.196,0,19.2,True,47.5,426,0.595,2,0.2301,0,0.3708,0.1175,0.1661,0.2346
AST-000026,Signal,Yard,Southern,9.23,15,11.2,0.746,16.0,100,1557.4,0.685,0.16,0.477,3.8,0.408,0,14.1,True,32.2,398,0.037,4,0.1479,0,0.3454,0.1989,0.0639,0.2073
AST-000027,Level_Crossing,Main_Line,NorthEastern,5.02,60,44.5,0.742,41.3,100,583.4,0.754,0.658,0.154,4.59,0.456,0,19.2,False,16.0,667,0.341,34,0.1303,0,0.6854,0.1979,0.5222,0.3725
AST-000028,Level_Crossing,Main_Line,Southern,8.48,60,27.1,0.451,69.3,110,2235.8,0.554,0.647,0.389,4.77,0.544,2,15.3,False,6.5,2097,0.102,66,0.2528,0,0.8786,0.2203,0.7451,0.5063
AST-000029,Bridge,Main_Line,Central,78.25,180,91.3,0.507,47.7,100,1595.1,0.347,0.402,0.13,3.11,0.291,0,6.2,False,21.6,3814,0.485,51,0.608,0,0.7584,0.1353,0.8445,0.5704
AST-000030,Points_and_Crossing,Main_Line,Central,15.29,20,16.5,0.825,77.2,80,2399.2,0.478,0.205,0.546,2.88,0.354,2,9.7,False,11.8,3870,0.671,61,0.4689,0,0.8258,0.3201,0.9343,0.6086
AST-000031,Bridge,Branch_Line,Central,44.14,180,111.7,0.621,14.0,60,793.1,0.454,0.242,0.243,2.95,0.428,0,3.7,False,14.1,445,0.517,16,0.0552,0,0.4327,0.1655,0.4338,0.2528
AST-000032,Track,Branch_Line,Southern,6.37,30,97.9,3.263,40.4,130,1159.6,0.756,0.572,0.41,3.05,0.336,0,10.6,False,73.8,1638,0.332,32,0.639,0,0.7542,0.8,0.5895,0.7064
AST-000033,Level_Crossing,Branch_Line,Eastern,11.03,60,6.2,0.104,16.9,80,3350.9,0.686,0.172,0.603,3.82,0.4,0,25.5,False,2.8,902,0.073,15,0.3179,1,0.5671,0.0278,0.3773,0.329
AST-000034,Points_and_Crossing,Branch_Line,Southern,11.19,20,77.8,3.891,15.2,100,2204.0,0.409,0.899,0.557,2.37,0.234,0,17.8,False,55.9,576,0.072,9,0.5034,1,0.56,0.8,0.3148,0.5662
AST-000035,Signal,Main_Line,Western,10.72,15,58.8,3.923,44.5,110,2985.7,0.497,0.112,0.204,2.54,0.21,0,15.7,False,17.9,1060,0.31,31,0.3515,1,0.798,0.8,0.5311,0.6245
AST-000036,Points_and_Crossing,Siding,NorthEastern,16.77,20,70.5,3.526,3.3,110,1178.1,0.894,0.636,0.04,1.52,0.5,2,13.1,True,37.9,706,0.437,1,0.8438,0,0.2688,0.9,0.152,0.5816
AST-000037,Track,Siding,NorthEastern,39.02,30,61.3,2.044,5.4,100,1468.1,0.77,0.428,0.37,1.73,0.441,0,3.2,False,7.8,212,0.153,6,0.8141,0,0.4726,0.545,0.2832,0.5647
AST-000038,Signal,Main_Line,Western,20.73,15,12.9,0.86,69.6,110,3606.5,0.566,0.204,0.513,1.78,0.416,0,13.4,True,6.1,3694,0.146,20,0.404,0,0.7197,0.2293,0.3958,0.4538
AST-000039,Signal,Main_Line,Eastern,8.4,15,9.1,0.605,18.9,100,4133.5,0.793,0.159,0.602,4.9,0.457,0,29.6,False,13.6,1110,0.402,15,0.4773,1,0.6426,0.1614,0.4604,0.4454
AST-000040,Signal,Branch_Line,Southern,10.78,15,9.1,0.607,11.1,80,3269.4,0.579,0.306,0.774,3.96,0.386,0,8.9,False,13.4,1435,0.143,11,0.2196,0,0.5262,0.162,0.4124,0.3261
AST-000041,OHE,Main_Line,Northern,15.71,45,38.4,0.853,41.9,110,1396.2,0.513,0.47,0.403,3.97,0.245,0,4.5,False,34.8,1623,0.225,34,0.1499,0,0.7325,0.2276,0.5786,0.4084
AST-000042,Signal,Main_Line,Eastern,20.11,15,51.1,3.408,40.8,80,3580.3,0.739,0.141,0.212,2.0,0.303,0,22.5,False,24.7,2679,0.189,41,0.7116,0,0.733,0.8,0.7003,0.7384
AST-000043,Track,Main_Line,NorthEastern,23.13,30,19.2,0.641,32.0,130,6825.1,0.75,0.334,0.487,4.38,0.548,0,13.0,False,5.1,1855,0.091,16,0.2243,0,0.8134,0.1709,0.4661,0.424
AST-000044,Bridge,Branch_Line,Southern,9.14,180,171.3,0.952,25.0,130,1508.2,0.656,0.24,0.632,3.93,0.356,0,16.6,True,22.0,98,0.346,5,0.3476,0,0.4617,0.2538,0.1066,0.3222
AST-000045,Track,Main_Line,Eastern,44.55,30,4.4,0.146,20.6,110,3492.4,0.73,0.085,0.27,3.47,0.554,0,20.8,False,46.6,881,0.213,19,0.3907,1,0.6536,0.0389,0.4269,0.387
AST-000046,Level_Crossing,Siding,Northern,20.8,60,29.5,0.492,8.2,80,458.0,0.35,0.09,0.195,3.58,0.287,0,3.9,True,31.3,84,0.189,1,0.3142,1,0.2219,0.1311,0.0506,0.2012
AST-000047,OHE,Main_Line,Eastern,12.09,45,20.4,0.453,36.9,130,3412.2,0.906,0.069,0.165,3.84,0.336,1,16.2,False,11.6,2216,0.1,31,0.3823,0,0.7985,0.1709,0.5854,0.4848
AST-000048,Points_and_Crossing,Main_Line,Western,7.28,20,4.2,0.208,14.2,80,3482.1,0.45,0.305,0.413,4.27,0.168,0,3.8,True,21.2,1065,0.632,4,0.0025,0,0.3531,0.0554,0.2386,0.1563
AST-000049,Signal,Branch_Line,Central,2.1,15,11.7,0.783,23.2,100,1023.7,0.315,0.736,0.485,4.12,0.084,0,21.2,False,25.6,618,0.443,25,0.2971,0,0.5776,0.2087,0.4859,0.3875
AST-000050,Signal,Branch_Line,Southern,4.69,15,1.2,0.083,36.0,100,2062.2,0.594,0.807,0.323,4.52,0.232,0,7.0,False,18.3,494,0.034,25,0.0,0,0.6944,0.022,0.3937,0.2729
AST-000051,Bridge,Siding,Northern,76.47,180,22.9,0.127,9.6,60,735.8,0.416,0.271,0.14,3.21,0.2,0,23.0,True,20.4,282,0.461,3,0.4277,0,0.2013,0.034,0.1332,0.2172
AST-000052,Points_and_Crossing,Main_Line,Eastern,15.96,20,20.4,1.022,93.6,100,4403.3,0.668,0.232,0.091,2.71,0.451,0,16.8,False,23.7,410,0.029,59,0.5889,1,0.9244,0.2726,0.5842,0.6098
AST-000053,Signal,Main_Line,Central,5.35,15,4.3,0.29,55.0,110,2053.3,0.358,0.662,0.041,4.38,0.258,0,4.1,False,30.7,1115,0.326,37,0.1465,0,0.84,0.0773,0.574,0.4014
AST-000054,Track,Main_Line,Central,2.44,30,6.4,0.212,34.6,80,1835.6,0.459,0.312,0.196,5.0,0.248,0,10.0,True,68.4,317,0.6,11,0.0439,0,0.4394,0.0566,0.2106,0.1907
AST-000055,Signal,Main_Line,Western,7.37,15,7.0,0.468,36.4,110,5296.1,0.505,0.37,0.15,5.0,0.266,1,9.5,False,23.2,5812,0.281,38,0.2116,0,0.804,0.1747,0.7279,0.4575
AST-000056,Track,Siding,Eastern,6.22,30,110.5,3.684,11.9,100,1258.6,0.615,0.512,0.28,2.75,0.231,1,15.4,True,29.8,160,0.461,3,0.5295,1,0.3091,0.85,0.1231,0.4825
AST-000057,Signal,Main_Line,Western,5.73,15,10.3,0.69,31.4,100,3056.8,0.626,0.276,0.166,4.97,0.278,0,15.9,False,12.9,765,0.001,34,0.2862,0,0.6933,0.1839,0.4623,0.4092
AST-000058,Track,Main_Line,Eastern,31.97,30,3.1,0.103,34.5,80,2814.7,0.667,0.643,0.121,3.33,0.494,0,18.5,False,37.3,770,0.255,35,0.1939,0,0.6682,0.0275,0.5193,0.3434
AST-000059,Track,Main_Line,Northern,4.53,30,32.5,1.085,16.5,100,719.0,0.401,0.383,0.827,4.7,0.312,0,10.7,True,19.5,705,0.375,4,0.3797,1,0.3242,0.2892,0.1572,0.307
AST-000060,Points_and_Crossing,Main_Line,Eastern,10.08,20,59.9,2.996,42.4,100,10537.7,0.744,0.909,0.031,1.64,0.323,0,12.0,True,51.3,3299,0.039,8,0.4939,1,0.6248,0.7988,0.3045,0.581
AST-000061,Bridge,Branch_Line,Southern,61.48,180,615.1,3.417,5.2,80,4135.1,0.843,0.119,0.616,1.0,0.518,1,10.5,False,23.4,1420,0.378,5,0.8653,0,0.5128,0.85,0.4231,0.6894
AST-000062,OHE,Main_Line,Central,7.88,45,23.8,0.53,17.9,100,2236.1,0.427,0.58,0.736,3.74,0.374,0,2.3,False,38.9,268,0.283,11,0.502,0,0.5787,0.1412,0.3432,0.411
AST-000063,Bridge,Main_Line,NorthEastern,30.37,180,387.0,2.15,30.9,60,971.9,0.736,0.288,0.2,2.65,0.487,1,15.4,False,49.7,274,0.175,27,0.4194,1,0.5507,0.6233,0.4152,0.5091
AST-000064,Bridge,Branch_Line,Northern,51.96,180,261.5,1.453,26.0,110,2181.3,0.413,0.475,0.32,3.12,0.414,0,11.0,True,13.0,2928,0.025,5,0.5718,1,0.4502,0.3875,0.2782,0.4452
AST-000065,Level_Crossing,Siding,Northern,15.98,60,26.1,0.436,6.3,100,1346.8,0.336,0.854,0.519,2.67,0.4,0,8.4,True,37.0,382,0.054,1,0.4112,0,0.2748,0.1162,0.0484,0.2421
AST-000066,OHE,Branch_Line,Central,23.69,45,37.3,0.829,16.9,100,574.7,0.321,0.258,0.022,3.19,0.266,1,21.8,True,35.2,1300,0.327,4,0.2763,0,0.322,0.271,0.1972,0.2768
AST-000067,Points_and_Crossing,Main_Line,Central,15.44,20,19.0,0.949,56.8,110,4101.8,0.416,0.744,0.779,2.46,0.437,0,18.9,False,44.7,334,0.611,48,0.5749,0,0.9134,0.2531,0.63,0.6043
AST-000068,Points_and_Crossing,Main_Line,Central,16.21,20,29.2,1.46,26.0,110,7486.8,0.447,0.205,0.535,2.05,0.392,0,3.6,False,16.3,5082,0.126,31,0.5466,0,0.7348,0.3895,0.6561,0.5802
AST-000069,Bridge,Siding,Southern,35.78,180,146.7,0.815,7.0,80,719.2,0.562,0.548,0.316,3.75,0.447,0,29.2,True,20.6,63,0.237,2,0.4235,0,0.2221,0.2173,0.0644,0.2577
AST-000070,Level_Crossing,Yard,Eastern,3.92,60,4.8,0.08,23.2,100,1620.1,0.808,0.386,0.277,5.0,0.337,0,21.0,True,11.3,1479,0.644,6,0.2131,0,0.3955,0.0213,0.287,0.231
AST-000071,Level_Crossing,Siding,Eastern,15.28,60,39.3,0.655,5.5,80,1614.4,0.61,0.577,0.5,3.65,0.442,0,9.8,True,13.8,944,0.076,1,0.3575,0,0.239,0.1748,0.0996,0.2376
AST-000072,Signal,Main_Line,NorthEastern,19.89,15,7.2,0.482,70.7,100,6161.5,0.773,0.444,0.356,3.3,0.551,0,18.2,False,10.4,1491,0.429,41,0.4166,0,0.9423,0.1285,0.6493,0.5372
AST-000073,Signal,Branch_Line,Western,4.88,15,9.1,0.605,31.8,80,2548.2,0.362,0.174,0.557,3.71,0.25,0,11.7,False,52.8,1372,0.549,30,0.3325,1,0.6425,0.1612,0.5992,0.4227
AST-000074,Track,Yard,Northern,2.52,30,33.0,1.099,12.8,100,701.6,0.449,0.897,0.481,3.88,0.147,0,20.9,True,33.5,903,0.531,2,0.1558,0,0.2986,0.2932,0.1931,0.2386
AST-000075,Signal,Main_Line,Western,6.95,15,50.9,3.392,24.4,100,3580.3,0.565,0.186,0.317,2.86,0.285,0,11.2,False,79.9,2435,0.083,26,0.5704,0,0.6622,0.8,0.5713,0.6555
AST-000076,Bridge,Branch_Line,Northern,54.13,180,193.9,1.077,38.5,100,4581.6,0.282,0.637,0.304,3.45,0.149,0,23.1,True,27.3,2597,0.499,7,0.5286,0,0.5864,0.2872,0.3571,0.4599
AST-000077,Level_Crossing,Main_Line,Southern,19.43,60,61.0,1.017,37.4,110,1303.7,0.666,0.526,0.413,3.76,0.448,0,17.6,False,12.9,4945,0.006,37,0.2639,0,0.7002,0.2711,0.6671,0.4571
AST-000078,Signal,Branch_Line,Southern,15.61,15,3.7,0.244,61.8,110,2292.1,0.557,0.366,0.19,2.8,0.305,0,18.4,True,35.7,811,0.173,11,0.3017,0,0.6803,0.0651,0.1663,0.3358
AST-000079,Track,Main_Line,NorthEastern,15.58,30,6.3,0.209,20.7,60,2554.5,0.809,0.156,0.7,4.24,0.491,1,30.8,False,11.8,313,0.735,11,0.2896,0,0.5298,0.1059,0.4372,0.3379
AST-000080,OHE,Yard,Southern,5.85,45,29.7,0.661,9.1,80,3311.4,0.777,0.139,0.229,3.59,0.348,0,17.5,True,14.2,279,0.341,1,0.3184,0,0.314,0.1762,0.0973,0.2484
AST-000081,Points_and_Crossing,Yard,Central,13.34,20,45.0,2.25,13.6,60,585.2,0.586,0.336,0.313,2.13,0.535,0,12.8,True,12.8,432,0.2,3,0.4986,0,0.2233,0.6,0.0936,0.3806
AST-000082,Bridge,Yard,NorthEastern,27.49,180,110.1,0.612,18.5,110,1990.5,0.832,0.658,0.15,3.39,0.41,0,6.1,False,22.8,182,0.647,16,0.4898,1,0.5948,0.1632,0.438,0.4319
AST-000083,Level_Crossing,Main_Line,Northern,3.73,60,42.2,0.703,34.1,60,6010.9,0.253,0.532,0.069,3.85,0.14,1,21.6,True,45.9,1967,0.094,5,0.0831,0,0.4926,0.2374,0.2119,0.2638
AST-000084,Track,Branch_Line,Southern,32.14,30,84.4,2.813,33.6,110,2075.4,0.685,0.253,0.394,2.55,0.41,0,7.1,True,18.4,356,0.071,9,0.5484,1,0.4979,0.7501,0.0963,0.5159
AST-000085,Signal,Branch_Line,NorthEastern,8.55,15,11.5,0.763,19.6,100,2941.9,0.79,0.352,0.408,4.14,0.365,0,9.7,False,45.7,529,0.017,18,0.4353,0,0.6112,0.2036,0.3524,0.4177
AST-000086,Bridge,Yard,Western,70.85,180,458.6,2.548,13.3,60,993.0,0.428,0.75,0.347,1.41,0.368,0,16.3,False,12.4,30,0.746,6,0.3473,0,0.4341,0.6794,0.3866,0.4623
AST-000087,Track,Main_Line,NorthEastern,39.67,30,22.4,0.747,37.5,110,1163.1,0.705,0.654,0.187,2.58,0.519,2,21.8,False,38.1,697,0.573,40,0.4228,0,0.6967,0.2992,0.6061,0.5016
AST-000088,Points_and_Crossing,Siding,Eastern,15.18,20,11.0,0.548,3.4,110,172.7,0.729,0.279,0.525,2.51,0.703,1,15.0,False,19.0,124,0.301,1,0.5467,0,0.4396,0.1962,0.2763,0.3864
AST-000089,Signal,Main_Line,NorthEastern,21.1,15,0.8,0.054,34.5,80,9289.7,0.947,0.463,0.517,3.36,0.765,0,1.5,False,52.8,482,0.512,29,0.477,1,0.7339,0.0143,0.5117,0.4436
AST-000090,OHE,Siding,Northern,30.26,45,41.4,0.921,10.1,60,363.7,0.345,0.48,0.301,2.86,0.207,0,22.0,True,36.3,219,0.247,2,0.483,1,0.1935,0.2456,0.0794,0.2763
AST-000091,Bridge,Main_Line,Eastern,5.3,180,48.8,0.271,20.8,100,1326.9,0.735,0.304,0.133,4.28,0.392,0,12.7,True,51.3,1994,0.43,5,0.1979,1,0.3711,0.0723,0.2813,0.231
AST-000092,Points_and_Crossing,Main_Line,NorthEastern,1.98,20,41.0,2.05,32.2,110,5143.0,0.784,0.458,0.594,3.64,0.451,0,17.0,False,88.6,1587,0.16,22,0.3456,0,0.776,0.5467,0.4927,0.5471
AST-000093,Track,Branch_Line,Central,9.12,30,11.5,0.383,9.6,80,3369.2,0.601,0.502,0.225,4.76,0.426,0,13.7,False,51.4,2685,0.161,11,0.1712,0,0.5188,0.1021,0.5201,0.3105
AST-000094,Bridge,Yard,Eastern,37.35,180,611.7,3.398,5.9,110,1210.5,0.714,0.433,0.435,2.48,0.455,0,26.1,True,17.6,462,0.7,1,0.6361,1,0.2874,0.8,0.1844,0.5047
AST-000095,OHE,Main_Line,Eastern,9.46,45,39.1,0.869,36.7,100,3707.3,0.654,0.053,0.723,4.53,0.304,0,17.8,False,13.2,1939,0.063,35,0.3497,0,0.7481,0.2317,0.5783,0.474
AST-000096,Track,Main_Line,Northern,10.09,30,5.9,0.196,44.0,100,3510.8,0.478,0.335,0.459,5.0,0.242,0,5.5,False,5.1,319,0.918,35,0.3436,1,0.7912,0.0523,0.6143,0.4457
AST-000097,Points_and_Crossing,Main_Line,Eastern,13.21,20,13.4,0.669,32.6,110,875.2,0.77,0.335,0.304,2.47,0.518,0,26.0,False,3.4,271,0.783,16,0.6893,1,0.6552,0.1784,0.4725,0.5188
AST-000098,Signal,Siding,Central,22.95,15,7.6,0.51,8.0,110,1371.3,0.434,0.232,0.188,2.81,0.331,0,12.7,False,28.7,280,0.308,5,0.4191,0,0.5063,0.136,0.3141,0.3587
AST-000099,Level_Crossing,Branch_Line,Eastern,26.14,60,60.9,1.015,14.2,100,2981.3,0.703,0.122,0.338,2.91,0.417,0,8.7,True,8.7,647,0.219,2,0.3196,0,0.3767,0.2707,0.1094,0.293
AST-000100,OHE,Main_Line,Southern,14.46,45,6.4,0.143,19.5,80,1377.5,0.57,0.399,0.391,4.03,0.269,0,16.8,False,9.6,1711,0.283,11,0.5633,0,0.5252,0.0381,0.4633,0.4056
AST-000101,Track,Siding,Southern,38.48,30,17.8,0.592,4.0,80,698.5,0.596,0.631,0.238,2.05,0.366,0,13.2,True,56.2,362,0.545,1,0.4734,0,0.2016,0.1579,0.145,0.2637
AST-000102,Signal,Siding,Eastern,4.25,15,36.6,2.442,8.5,80,1480.9,0.681,0.153,0.429,2.66,0.282,0,5.4,True,14.2,425,0.037,2,0.3673,0,0.2549,0.6511,0.0546,0.3576
AST-000103,Track,Branch_Line,Southern,13.06,30,10.2,0.341,25.4,100,1352.6,0.496,0.555,0.24,4.0,0.266,0,6.1,False,75.4,801,0.549,17,0.0768,0,0.6024,0.0908,0.4757,0.2978
AST-000104,Signal,Branch_Line,Eastern,23.83,15,54.9,3.661,24.3,80,2996.2,0.723,0.792,0.331,1.0,0.492,0,8.5,True,33.6,1249,0.267,6,0.8113,1,0.406,0.8,0.1925,0.5941
AST-000105,OHE,Main_Line,Central,8.05,45,13.9,0.308,22.1,100,561.1,0.438,0.735,0.288,4.74,0.26,0,25.0,False,42.6,1445,0.068,19,0.2974,0,0.5566,0.0822,0.4448,0.3435
AST-000106,Bridge,Main_Line,Eastern,71.35,180,20.3,0.113,29.1,60,6837.0,0.683,0.405,0.145,2.6,0.424,0,4.6,False,19.6,654,0.252,15,0.6342,0,0.6595,0.03,0.3924,0.4545
AST-000107,Track,Main_Line,Eastern,39.2,30,21.6,0.721,28.7,100,3614.3,0.775,0.266,0.174,3.18,0.555,0,8.1,False,8.8,1299,0.553,23,0.4447,0,0.6918,0.1922,0.553,0.472
AST-000108,Track,Main_Line,Eastern,18.81,30,56.0,1.867,62.3,80,11085.1,0.713,0.136,0.59,2.54,0.442,0,2.6,False,92.6,1158,0.591,53,0.5393,1,0.9038,0.4979,0.7238,0.666
AST-000109,Points_and_Crossing,Main_Line,Eastern,18.76,20,71.2,3.561,28.6,100,15831.7,0.669,0.565,0.634,1.75,0.523,0,11.6,True,9.0,614,0.394,5,0.8984,0,0.5327,0.8,0.1591,0.6532
AST-000110,Track,Yard,Western,31.43,30,58.2,1.942,4.5,80,1011.7,0.651,0.305,0.116,1.66,0.344,0,27.8,True,18.4,1193,0.588,1,0.4628,0,0.2141,0.5178,0.2228,0.3659
AST-000111,Bridge,Siding,Northern,37.93,180,149.8,0.832,11.0,110,2064.4,0.334,0.251,0.318,3.62,0.241,0,15.5,True,15.9,1657,0.386,1,0.4314,0,0.3471,0.2219,0.2211,0.3222
AST-000112,Points_and_Crossing,Branch_Line,Eastern,11.94,20,18.2,0.912,35.9,80,2337.6,0.799,0.065,0.321,3.34,0.53,0,10.2,False,45.2,628,0.507,42,0.5841,0,0.6636,0.2431,0.5987,0.5249
AST-000113,Track,Branch_Line,Northern,22.81,30,17.7,0.59,49.3,130,703.9,0.317,0.616,0.469,2.72,0.362,0,27.4,False,26.3,396,0.486,50,0.4838,0,0.7996,0.1573,0.6219,0.5176
AST-000114,Bridge,Yard,Northern,14.15,180,59.5,0.33,19.0,110,713.7,0.428,0.499,0.149,3.72,0.225,0,10.2,True,83.1,384,0.118,3,0.0722,0,0.3599,0.0881,0.0731,0.1626
AST-000115,Track,Siding,Southern,30.73,30,24.6,0.821,7.7,60,1200.2,0.526,0.235,0.372,3.0,0.34,0,9.7,True,14.0,410,0.484,2,0.4459,0,0.2028,0.2189,0.1427,0.2707
AST-000116,Track,Branch_Line,Northern,33.11,30,7.0,0.232,49.0,80,1100.6,0.268,0.07,0.392,4.04,0.304,1,20.0,True,26.8,1435,0.506,10,0.3597,0,0.5138,0.112,0.2792,0.3319
AST-000117,Signal,Main_Line,Central,2.27,15,11.4,0.759,40.8,80,3397.2,0.336,0.112,0.046,3.0,0.281,0,9.4,False,77.8,1753,0.344,28,0.288,0,0.7278,0.2023,0.5783,0.4421
AST-000118,Track,Main_Line,Western,30.05,30,3.7,0.123,38.6,110,1858.9,0.528,0.306,0.211,3.28,0.428,0,19.5,False,4.4,1223,0.673,40,0.4653,0,0.7246,0.0327,0.6699,0.4656
AST-000119,OHE,Branch_Line,Northern,12.72,45,25.1,0.557,21.4,100,2390.8,0.5,0.136,0.108,3.36,0.523,0,5.4,True,33.3,1417,0.474,3,0.1916,0,0.4066,0.1486,0.2304,0.2512
